,IR0,IR1,IR2,IR3,IR4,IR5,IR6,IR7,Smell,Turn,Move
199,17,1,1,17,100,100,100,38,149.90932478370598,-0.027202564888206382,12.0
200,17,1,1,17,100,100,100,38,149.93652734859415,-0.019041795421756547,12.0
201,17,1,1,16,100,100,100,38,149.95556914401584,-0.01332925679525232,12.0
202,17,1,1,16,100,100,100,38,149.9688984008111,-0.009330479756670229,12.0
203,17,1,1,16,100,100,100,38,149.97822888056783,-0.006531335829656371,12.0
204,17,1,1,16,100,100,100,38,149.9847602163975,-0.004571935080754486,12.0
205,17,1,1,16,100,100,100,38,149.98933215147827,-0.003200354556518903,12.0
206,17,1,1,16,100,100,100,38,149.99253250603476,-0.002240248189572469,12.0
207,17,1,1,16,100,100,100,38,149.9947727542243,-0.0015681737327142287,12.0
208,17,1,1,16,100,100,100,38,149.99634092795702,-0.0010977216128935652,12.0
209,17,1,1,16,100,100,100,38,149.99743864956997,-0.0007684051290084426,12.0
210,17,1,1,16,100,100,100,38,149.99820705469904,-0.0005378835902902779,12.0
211,17,1,1,16,100,100,100,38,149.9987449382893,-0.00037651851321385266,12.0
212,17,1,1,16,100,100,100,38,149.99912145680253,-0.0002635629592404598,12.0
213,17,1,1,16,100,100,100,38,149.9993850197618,-0.00018449407146192698,12.0
214,17,1,1,16,100,100,100,38,149.9995695138333,-0.00012914585001055912,12.0
215,17,1,1,16,100,100,100,38,149.9996986596833,-9.040209501165464e-05,12.0
216,17,1,1,16,100,100,100,38,149.9997890617783,-6.328146650957933e-05,12.0
217,17,1,1,16,100,100,100,38,149.9998523432448,-117.0,20.0
218,96,100,36,37,21,30,100,100,-100.61561610786134,-30.1846848323584,10.0
219,100,89,100,43,37,29,38,100,-74.08952003337004,-22.22685601001101,10.0
220,100,84,99,52,62,35,42,100,-55.044527375519124,-16.513358212655735,10.0
221,100,92,83,100,63,43,39,45,-41.19518603608867,-12.358555810826601,10.0
222,100,100,79,100,70,53,38,32,-31.041612559328428,-9.312483767798527,10.0
223,100,100,80,100,80,63,37,24,-23.556038433991773,-7.066811530197532,10.0
224,100,100,84,98,100,72,15,19,-18.015299335779332,-5.4045898007338,10.0
225,100,100,89,96,100,80,12,14,-13.90250899666421,31.82924730100074,11.600000000000001
226,100,97,85,100,100,18,15,100,-50.78018686807707,-15.23405606042312,10.0
227,100,100,82,100,100,24,14,100,-39.63246786725358,-2.8897403601760736,10.4
228,100,100,83,100,100,25,13,100,-41.39142498291886,5.582572505124341,10.8
